node,x,y,latitude,longitude
5010892,443265,4400572.5,39.7531765,-123.662277
5065665,444205,4400559.5,39.7531215,-123.651304
5068372,446912,4400559.5,39.7532945,-123.619706
5081332,443308,4400555.5,39.7530262,-123.661773
5087533,445368,4400554.5,39.7531518,-123.637728
5131945,444229,4400543.5,39.7529789,-123.651022
5221345,446668,4400522.5,39.7529459,-123.622551
5241791,446409,4400517.5,39.7528846,-123.625574
5242676,443153,4400516.5,39.7526645,-123.663579
5265287,445059,4400511.5,39.7527445,-123.641331
5283823,447031,4400507.5,39.7528334,-123.618313
5286190,445257,4400506.5,39.7527122,-123.63902
5293433,444218,4400504.5,39.7526268,-123.651147
5294013,444798,4400504.5,39.7526646,-123.644377
5300670,443173,4400502.5,39.7525397,-123.663345
5304685,443047,4400501.5,39.7525223,-123.664815
5314230,444310,4400499.5,39.7525878,-123.650073
5325722,443379,4400496.5,39.7524994,-123.66094
5340957,446191,4400493.5,39.7526546,-123.628117
5398595,445855,4400479.5,39.7525072,-123.632037
5414275,444971,4400475.5,39.7524145,-123.642356
5449821,443248,4400466.5,39.7522204,-123.662466
5451424,444851,4400466.5,39.7523256,-123.643755
5488495,444653,4400457.5,39.7522317,-123.646066
5661634,443870,4400415.5,39.7518021,-123.655202
5685801,443191,4400409.5,39.751703,-123.663127
5699087,444054,4400406.5,39.7517331,-123.653053
5707004,443689,4400404.5,39.751691,-123.657313
5712979,445523,4400403.5,39.7518013,-123.635906
5719514,443776,4400401.5,39.7516697,-123.656298
5720727,444989,4400401.5,39.7517489,-123.642139
5722943,443064,4400400.5,39.7516135,-123.664608
5730569,446549,4400399.5,39.7518302,-123.62393
5734716,446555,4400398.5,39.7518216,-123.62386
5761487,444339,4400391.5,39.7516166,-123.649725
5786333,444339,4400385.5,39.7515626,-123.649725
5786360,444366,4400385.5,39.7515643,-123.64941
5802971,444413,4400381.5,39.7515314,-123.648861
5878769,445673,4400363.5,39.7514505,-123.634152
5897977,444176,4400358.5,39.7513086,-123.651625
5901537,443595,4400357.5,39.7512614,-123.658406
5962201,446285,4400343.5,39.7513091,-123.627007
5992327,443283,4400335.5,39.7510424,-123.662046
6012799,443050,4400330.5,39.7509818,-123.664765
6038514,443919,4400324.5,39.7509854,-123.654622
6038650,444055,4400324.5,39.7509944,-123.653035
6075514,443650,4400315.5,39.7508866,-123.657761
6078977,447113,4400315.5,39.7511086,-123.61734
6090442,446155,4400312.5,39.7510216,-123.628522
6113316,444183,4400306.5,39.7508406,-123.651539
